Day fraction since midnight on 10/27/2019	Pressure Sensor (volts)	Influent Turbidity (NTU)	Effluent Turbidity (NTU)	PumpControl(Clay) ()	PAC Flow Rate (mL/s)	CoagMass ()	drain control ()	coagulant pump ()	clay pump ()	waste pump ()
0.00689576	0.00744543	0.60279137	1035.58105469	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00695363	0.00732965	0.60330796	1000.62017822	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00701150	0.00742642	0.60261649	995.00140381	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00706938	0.00737818	0.60228980	1010.07922363	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00712725	0.00743415	0.60203421	1037.29125977	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00718512	0.00733589	0.60237390	1067.32519531	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00724299	0.00748206	0.60294020	1086.47753906	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00730086	0.00732394	0.60222220	1078.75390625	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00735873	0.00748430	0.60229599	1075.85168457	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00741660	0.00734470	0.60212439	1058.35437012	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00747447	0.00745484	0.60148168	1020.36767578	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00753234	0.00739122	0.60132277	961.51763916	0.00222765	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00759021	0.00743708	0.60102206	922.16857910	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00764809	0.00736046	0.60120469	892.37231445	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00770596	0.00749988	0.60180885	862.91058350	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00776383	0.00734218	0.60234177	844.33276367	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
0.00782170	0.00745417	0.60264391	831.52148437	0.00000000	0.00363188	-999999.00000000	0.00000000	1955.05617978	40.00000000	-2718.59154930
