Day fraction since midnight on 11/4/2019	Pressure Sensor (volts)	Influent Turbidity (NTU)	Effluent Turbidity (NTU)	PumpControl(Clay) ()	PAC Flow Rate (mL/s)	CoagMass ()	drain control ()	coagulant pump ()	clay pump ()	waste pump ()
0.65116256	-999.00000000	-999.00000000	0.43682204	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65117407	-999.00000000	-999.00000000	0.44154513	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65118560	-999.00000000	-999.00000000	0.44588485	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65119712	-999.00000000	-999.00000000	0.45165070	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65120864	-999.00000000	-999.00000000	0.45864844	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65122016	-999.00000000	-999.00000000	0.46337664	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65123169	-999.00000000	-999.00000000	0.46807928	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65124320	-999.00000000	-999.00000000	0.47239855	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65125472	-999.00000000	-999.00000000	0.47726988	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65126624	-999.00000000	-999.00000000	0.48287216	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65127776	-999.00000000	-999.00000000	0.48854088	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65128929	-999.00000000	-999.00000000	0.49324353	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65130081	-999.00000000	-999.00000000	0.49568175	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65131234	-999.00000000	-999.00000000	0.50470367	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65132385	-999.00000000	-999.00000000	0.50940631	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65133536	-999.00000000	-999.00000000	0.51413962	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65134689	-999.00000000	-999.00000000	0.51886271	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65135840	-999.00000000	-999.00000000	0.52354490	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65136993	-999.00000000	-999.00000000	0.52772106	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65138145	-999.00000000	-999.00000000	0.53350736	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65139296	-999.00000000	-999.00000000	0.54048464	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65140449	-999.00000000	-999.00000000	0.54382248	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65141600	-999.00000000	-999.00000000	0.54948610	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65142753	-999.00000000	-999.00000000	0.55529796	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65143905	-999.00000000	-999.00000000	0.56104847	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65145056	-999.00000000	-999.00000000	0.56440167	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65146209	-999.00000000	-999.00000000	0.56912987	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65147361	-999.00000000	-999.00000000	0.57489570	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65148513	-999.00000000	-999.00000000	0.58152542	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65149665	-999.00000000	-999.00000000	0.58482749	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65150816	-999.00000000	-999.00000000	0.58955058	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65151969	-999.00000000	-999.00000000	0.59670677	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65153123	-999.00000000	-999.00000000	0.59897631	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65154273	-999.00000000	-999.00000000	0.60568779	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65155425	-999.00000000	-999.00000000	0.60982305	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65156577	-999.00000000	-999.00000000	0.61558891	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65157729	-999.00000000	-999.00000000	0.62119629	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65158883	-999.00000000	-999.00000000	0.62684457	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65160034	-999.00000000	-999.00000000	0.63157278	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65161185	-999.00000000	-999.00000000	0.63588694	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65162338	-999.00000000	-999.00000000	0.64165790	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65163489	-999.00000000	-999.00000000	0.64617652	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65164643	-999.00000000	-999.00000000	0.65072070	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65165793	-999.00000000	-999.00000000	0.65523933	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65166946	-999.00000000	-999.00000000	0.65978352	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65168098	-999.00000000	-999.00000000	0.66618832	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65169249	-999.00000000	-999.00000000	0.67105453	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65170402	-999.00000000	-999.00000000	0.67681016	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65171555	-999.00000000	-999.00000000	0.68150767	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65172705	-999.00000000	-999.00000000	0.68817828	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65173858	-999.00000000	-999.00000000	0.69235953	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65175009	-999.00000000	-999.00000000	0.69722064	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65176162	-999.00000000	-999.00000000	0.70421838	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65177314	-999.00000000	-999.00000000	0.70892613	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65178465	-999.00000000	-999.00000000	0.71311761	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65179618	-999.00000000	-999.00000000	0.71555072	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65180769	-999.00000000	-999.00000000	0.72465443	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65181922	-999.00000000	-999.00000000	0.72936218	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65183074	-999.00000000	-999.00000000	0.73283804	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65184225	-999.00000000	-999.00000000	0.73983578	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65185378	-999.00000000	-999.00000000	0.74229444	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65186530	-999.00000000	-999.00000000	0.74889859	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65187682	-999.00000000	-999.00000000	0.75222111	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65188834	-999.00000000	-999.00000000	0.76031784	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65189986	-999.00000000	-999.00000000	0.76258737	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65191138	-999.00000000	-999.00000000	0.76929886	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65192290	-999.00000000	-999.00000000	0.77588767	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65193442	-999.00000000	-999.00000000	0.77830033	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65194594	-999.00000000	-999.00000000	0.78403040	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65195747	-999.00000000	-999.00000000	0.78995981	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65196898	-999.00000000	-999.00000000	0.79468801	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65198051	-999.00000000	-999.00000000	0.79818431	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65199202	-999.00000000	-999.00000000	0.80477825	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65200355	-999.00000000	-999.00000000	0.80948089	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65201507	-999.00000000	-999.00000000	0.81664220	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65202658	-999.00000000	-999.00000000	0.81891173	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65203811	-999.00000000	-999.00000000	0.82562323	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65204962	-999.00000000	-999.00000000	0.82977893	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65206114	-999.00000000	-999.00000000	0.83693512	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65207268	-999.00000000	-999.00000000	0.84164799	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65208418	-999.00000000	-999.00000000	0.84636596	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65209571	-999.00000000	-999.00000000	0.85107371	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65210723	-999.00000000	-999.00000000	0.85768296	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65211874	-999.00000000	-999.00000000	0.86250828	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65213027	-999.00000000	-999.00000000	0.86723650	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65214178	-999.00000000	-999.00000000	0.87193914	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65215331	-999.00000000	-999.00000000	0.87662644	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65216484	-999.00000000	-999.00000000	0.88224916	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65217634	-999.00000000	-999.00000000	0.88750897	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65218787	-999.00000000	-999.00000000	0.89325948	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65219938	-999.00000000	-999.00000000	0.89663312	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65221092	-999.00000000	-999.00000000	0.90238362	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65222244	-999.00000000	-999.00000000	0.90711182	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65223396	-999.00000000	-999.00000000	0.91042413	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65224547	-999.00000000	-999.00000000	0.91815793	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65225701	-999.00000000	-999.00000000	0.92284013	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65226851	-999.00000000	-999.00000000	0.92877466	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65228003	-999.00000000	-999.00000000	0.93352330	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65229155	-999.00000000	-999.00000000	0.93912558	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65230307	-999.00000000	-999.00000000	0.94438538	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65231460	-999.00000000	-999.00000000	0.94770280	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65232611	-999.00000000	-999.00000000	0.95243099	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65233763	-999.00000000	-999.00000000	0.95911692	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65234916	-999.00000000	-999.00000000	0.96381956	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65236067	-999.00000000	-999.00000000	0.96611466	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65237220	-999.00000000	-999.00000000	0.97376667	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65238371	-999.00000000	-999.00000000	0.97844887	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65239523	-999.00000000	-999.00000000	0.98317707	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65240676	-999.00000000	-999.00000000	0.98790527	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65241827	-999.00000000	-999.00000000	0.99575663	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65243247	-999.00000000	-999.00000000	0.99575663	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65244132	-999.00000000	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65245283	-999.00000000	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65246436	-999.00000000	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65247587	-999.00000000	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65248740	-999.00000000	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65249892	-999.00000000	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65251043	-999.00000000	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65252196	-999.00000000	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65253347	-999.00000000	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65254500	-999.00000000	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65255652	-999.00000000	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65256804	-999.00000000	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65257957	-999.00000000	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65259107	-999.00000000	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65260260	-999.00000000	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65261412	-999.00000000	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
